Date,Content,Comment
2020-09-15,https://boxd.it/1lk3Z9,Pattinson easily plays the best character. I can’t wait to see him in more Nolan films.
2020-11-03,https://boxd.it/1qMh93,"You have to go to ""Edit Profile"" (from desktop) or tap the gear from the profile tab (from mobile app) and you can select up to 4 favorite films. "
2021-01-08,https://boxd.it/1zsS09,Not at all. There isn’t a single thing that would make it worth the runtime
2021-01-11,https://boxd.it/1zMcuV,FINALLY!
2021-01-12,https://boxd.it/1A4OT1,What would you say is the dilemma?
2021-01-15,https://boxd.it/1AAbK9,So good
2021-02-20,https://boxd.it/1FIGmt,I GET OVERWHELMED
2021-02-22,https://boxd.it/1FXOmB,It <i>should</i> have been better
2021-02-22,https://boxd.it/1G18SX,"I like your read on the film because it touches at something hinted at one point in the film: the shimmer is unthinking and uncontrollably changing at apparently variable rate. If the rate of change happens on a lifecycle, then the ebb and flow of how it changes can be influenced. 

That it all works as a sheer willpower battle royale is a unique idea I haven’t heard of before"
2021-02-25,https://boxd.it/1Ghx7T,I couldn’t take the dialogue seriously but I do understand the feminist subtext in the relationship power dynamics. That was the most compelling part of this movie.
2021-04-13,https://boxd.it/1N4eRl,You can review LSAT material on Khan Academy
2021-06-04,https://boxd.it/1TQkST,You are doing your best
2021-07-18,https://boxd.it/20d4dZ,Natasha finally got her own movie but ended it six feet under ground
2021-08-09,https://boxd.it/23usYh,Sam! Join us for Jackson Film Club this Wednesday. We're going to see <em>The Green Knight</em>
2021-08-30,https://boxd.it/26ssFx,I agree with the sentiment but the stars are too low bro
2021-10-02,https://boxd.it/2aWJBt,Congrats on reaching 800. I’ll get there next year!
2021-10-24,https://boxd.it/2d46zd,You should update this review to reflect your star rating
2021-10-25,https://boxd.it/2eyeuJ,Rumor has it Hans Zimmer skipped <i>Tenet</i> to score <i>DUNE</i> but I’m glad Nolan made it work despite that handicap
2021-10-30,https://boxd.it/2f0Lnx,SACKCLOTH AND ASHES BOY
2021-10-30,https://boxd.it/2fhqLd,Yikes
2021-11-05,https://boxd.it/2gdssj,"Yes, it’s terrible! Look how they abused my boy!"
2021-11-08,https://boxd.it/2gNkPL,Had my third watch today and still love it
2021-11-11,https://boxd.it/2hcENF,👀
2021-11-13,https://boxd.it/2hqkzL,"I’m gonna pray on this one, boy"
2021-11-13,https://boxd.it/20pfR1,nerd
2021-11-14,https://boxd.it/e24ug,"I second Matthew and add <i>Rango</i>

Other than that 👌🏼"
2021-11-17,https://boxd.it/2icPft,"You get your own tag, Samø"
2021-11-18,https://boxd.it/2idjPr,"I disagree that this film is hollow. There's a soul in each story, and as long as you're into anthological works it's a fun dive into the three or four voices on display through the narrative.

It's okay that the most Wes Anderson-style film in his filmography isn't your thing, just wanted to share my thoughts as I really liked it! Glad we got to see this one together, thank you discount day"
2021-11-18,https://boxd.it/2ikZf5,🤣
2021-11-21,https://boxd.it/2iCLyX,Happy birthday Kari
2021-11-28,https://boxd.it/2jGzFf,"First, this is a prequel not a remake. 
Second, I don’t know what you’re complaining about since you told me NOT to watch the Carpenter version."
2021-12-01,https://boxd.it/2kl07z,✌🏼
2021-12-15,https://boxd.it/2mjSDt,I’m gonna watch this soon 💙
2021-12-18,https://boxd.it/2mHmLt,“Most emotional” Tom Holland belongs to <i>Cherry</i> but his performance in this film is still compelling
2021-12-19,https://boxd.it/2mZPbb,Did you cry?
2021-12-20,https://boxd.it/25Bkk1,Perfect review
2021-12-20,https://boxd.it/2n9Olz,👏
2021-12-24,https://boxd.it/2o47of,Oh buddy
2022-01-08,https://boxd.it/2rSxkZ,"DUDE that would have been wild!

come to tonight’s screening of <i>The Tragedy of Macbeth</i>"
2022-01-08,https://boxd.it/2rZieh,@Sam it was probably because it was a 1pm show on a Friday
2022-01-14,https://boxd.it/2tthVX,woof
2022-01-19,https://boxd.it/2uNJf5,Stop oppressing my freedom of choice
2022-01-19,https://boxd.it/2uNJf5,"Samo, open your eyes. See how the world has changed and meetings are illegal. Christianity is illegal. I may not know your Jesus, but I believe in freedom of choice.

Stop buying into the propaganda from Hollywood and start listening to the Wesely brothers, German pedophiles who dedicated their movie to Jesus.
<blockquote>
Special Thanks to 
Our Lord Jesus Christ
</blockquote>"
2022-01-21,https://boxd.it/2v9e0n,"I believe this, Kari: if you watch this you’ll be cursing too"
2022-01-23,https://boxd.it/2vL1Fj,I highly recommend Denis Villeneuve's <i>Enemy</i> starring Jake (& Jake)
2022-01-24,https://boxd.it/2vL1Fj,lol I checked!
2022-01-26,https://boxd.it/2wh1DL,well said
2022-01-28,https://boxd.it/2wGi8P,"It was at least 1080p, you slanderer"
2022-02-10,https://boxd.it/2z2trv,I almost unfollowed you for this
2022-02-12,https://boxd.it/2zlWUf,This is my favorite Star Wars story too!
2022-03-05,https://boxd.it/2De51D,💙
2022-03-09,https://boxd.it/2E8Hh7,Never watching a trailer again
2022-03-23,https://boxd.it/2GNL21,I’m watching this tomorrow night
2022-04-02,https://boxd.it/2InHHZ,"Bro I’ve been so proud of you and this review all morning, but just realized I was so excited by it I shared in on Instagram without giving it a like here first

Apologies for the oversight sir and may the force be with you"
2022-04-07,https://boxd.it/2JaLQz,sufjan 4 life
2022-04-12,https://boxd.it/2KmlDH,😂😂😂
2022-04-13,https://boxd.it/fhlKY,"Wow Sam, you broke the podcast"
2022-04-18,https://boxd.it/2LfXwJ,Matthew watched it thrice in 5 days 
2022-04-19,https://boxd.it/2LzFmB,It’s marked for spoilers
2022-04-24,https://boxd.it/2MuUs9,Hot takes! Get yer hot takes! Fresh off the griddle
2022-04-25,https://boxd.it/2Myhyb,I will carry your hype with me when I see this tomorrow
2022-04-26,https://boxd.it/2MVihB,Don't diminish the action sequences. Alexander Skarsgård delivers an animalistic performance with terrifying authenticity.
2022-04-30,https://boxd.it/2Nogmd,"YELLING IS WHY THEY KICKED ME OUT OF THE THEATER

🐶"
2022-05-03,https://boxd.it/2O2Xm1,Third eye: open
2022-05-04,https://boxd.it/2Odvol,"On subsequent viewings the overwhelming firehose of story is easier to manage. I found I enjoyed the movie more on the second viewing than the first.

Glad to hear you enjoyed it"
2022-05-06,https://boxd.it/2OqQc7,I write all my reviews because I am Lamb
2022-05-11,https://boxd.it/2Pxf7H,I understand that reference!
2022-05-31,https://boxd.it/2SLWdN,My mom is built different
2022-06-02,https://boxd.it/2TlKFx,I was 5 when I saw this the first time
2022-06-02,https://boxd.it/2TizmX,🦶
2022-06-09,https://boxd.it/2Txzad,"I respectfully disagree with Sam. There is a purpose for that scene. I think it depicts how replicants are treated as less-than-human. Empathetic people will feel badly for Rachael because they humanize her. It's certainly not a comfortable scene but not everything is sunshine and rainbows.

I've heard some folks say that rewatching the film helped them connect with the replicants more, especially after Roy Batty's tragic end. Until the androids are viewed as human and worthy of human dignity, it's entirely possible for someone to argue that Deckard was just being rough with something that is just property."
2022-06-26,https://boxd.it/2XNQ11,We don’t talk about that
2022-06-28,https://boxd.it/2Y90qn,Do you really mean <i>any</i>?
2022-07-03,https://boxd.it/2YUPNr,"Calm down, Shania Sam"
2022-07-08,https://boxd.it/2ZTUQ3,Sometimes you have real cinebro reviews
2022-07-08,https://boxd.it/2ZTUQ3,Your honesty definitely comes through. Respect
2022-07-09,https://boxd.it/307wEP,You’re a beautiful person
2022-07-22,https://boxd.it/32Hupt,"Get in loser, we’re going shopping"
2022-07-26,https://boxd.it/33A8AT,"hilarious 
hĭ-lâr′ē-əs, -lăr′-, hī-
adjective
1. Characterized by or causing great merriment.
2. Mirthful; noisy; merry.
3. Very funny; causing great merriment and laughter."
2022-08-05,https://boxd.it/368gVh,Thanks for your support Sam Graef
2022-08-05,https://boxd.it/368gVh,"For me, the standout performance is Bryan Tyree Henry

Of course that means Aaron Taylor-Johnston is along for the ride too"
2022-08-12,https://boxd.it/37yZr3,"A new short film! I’m so excited 😆 

I hope editing goes well 👍🏻"
2022-08-13,https://boxd.it/37ElZB,I just saw that scene
2022-08-14,https://boxd.it/37PlZN,"It is mesmerizing, I agree"
2022-08-18,https://boxd.it/38Spkp,I was just thinking I’d not seen you log anything since the weekend so I figured editing must be going well and then you logged this 🤦‍♂️
2022-08-19,https://boxd.it/inlCt,I imagine upon rewatch there’s a good chance I’ll give this 5 stars
2022-08-20,https://boxd.it/393Ovf,@JoeyLowy I usually check Fandango but I found out about this classic selection from their Instagram 
2022-08-20,https://boxd.it/39gsYP,Literally perfect
2022-08-23,https://boxd.it/1CWdqx,Leo got robbed for this performance
2022-08-28,https://boxd.it/1FNKar,Make a movie bro
2022-09-07,https://boxd.it/3cHJhz,Go to urgent care and wear a mask
2022-09-09,https://boxd.it/3d22Ab,Classic
2022-09-10,https://boxd.it/3d7JmL,"Sorry mate, my only recommendation is go in as blind as you can"
2022-09-13,https://boxd.it/3dF62l,"No, no, perfect review 

Highly intelligent"
2022-09-18,https://boxd.it/3eznA7,😊
2022-09-25,https://boxd.it/3g251b,Perfect analysis of Florence Pugh
2022-09-25,https://boxd.it/3g31fP,Mommy made you some content
2022-09-28,https://boxd.it/glTT8,"I had a lot of fun completing this list! It's pretty eclectic because it's got a bit of everything. Classics and brand-new movies, short films, documentaries, and straight up propaganda. There's even a film written and directed by someone from Mississippi, my home state, so that's pretty neat. 

If anyone is reading this, what should my 2023 goal be? I'll probably decide officially later this year, but I'm thinking along the lines of 50 southern directors, specifically MS, AL, TN, LA, and FL. I don't like the Carolinas, they're weird and I assume the movies made there are weird. 

Anyway, I feel like this is oversharing."
2022-09-29,https://boxd.it/3gg8Mx,Not hardly. It’s a classic for a reason but I wasn’t blown away like I was with <i>2001</i>
2022-10-05,https://boxd.it/3i6C8F,I love this
2022-10-05,https://boxd.it/3i6C8F,😂 I meant the movie but your review is good too
2022-10-08,https://boxd.it/3ivnar,God bless Rebecca Hall
2022-10-13,https://boxd.it/3jHYot,You are insane and a terrible drummer
2022-10-21,https://boxd.it/3lgRY9,"@sam 
😴"
2022-10-27,https://boxd.it/3mznTF,"Woof

<i>The Strange Thing About the Johnsons</i> is Aster’s taboo-defying thesis 

It is not an easy watch"
2022-10-28,https://boxd.it/3mXN0T,Cringe
2022-11-04,https://boxd.it/3otMsl,Where I fell in love with Timothée
2022-11-08,https://boxd.it/3pmFF3,🙏🏼
2022-11-08,https://boxd.it/3ptMqX,udk
2022-11-13,https://boxd.it/3qmfJx,cringe
2022-11-14,https://boxd.it/glTT8,One film was removed from Letterboxd: Stuart Brown ‎‘POLYBIUS - The Video Game That Doesn't Exist'
2022-11-18,https://boxd.it/3riTuX,"@sam no, it was a donkey"
2022-11-18,https://boxd.it/3rrCxX,"Right! The Ironheart is shoehorned in as a macguffin and Riri is just a cog in the Marvel machine. Loved Namor, though. And the emotional side hit me right"
2022-11-19,https://boxd.it/jbysi,"So far I’ve only added films produced directly by A24. I know there are more. 

<i>Uncut Gems</i> is less of a good time than <i>Good Time</i>, which is still a pretty stressful movie experience. I also have yet to rewatch <i>Uncut Gems, </i>so it’s possible I might change my mind in the future"
2022-11-20,https://boxd.it/3rFAWf,"S'mores? 
Smores. 
Some ores... smurs. So mores. 

Smores. 

or S'mores...?"
2022-11-21,https://boxd.it/3s9A5v,So good 😊
2022-11-21,https://boxd.it/3s9tkN,Happy birthday Kari Gogo
2022-11-28,https://boxd.it/3tDRDj,“And then I woke up.”
2022-11-29,https://boxd.it/3tGfpf,"When this was recommended to me, the girl said “it’s hilarious!” and now I usually have 911 predialed whenever I’m around her"
2022-12-05,https://boxd.it/3v1BKl,I really wanted to go again today. I even had plans with Heath but had to reschedule.
2022-12-07,https://boxd.it/3voKep,"<a href=""https://letterboxd.com/moviemattk/"">@moviemattk</a> absolutely correct 👍"
2022-12-09,https://boxd.it/3vNaAp,I’m liking without reading. I’m about to start watching this with Micah
2022-12-09,https://boxd.it/3vRCiL,Ok so you casually watch Kubrick
2022-12-15,https://boxd.it/3xaDG7,Where did you see this?
2022-12-16,https://boxd.it/3xaDG7,Woah slow your horses there sonny
2022-12-21,https://boxd.it/3ys6VX,"I don't want to annoy you, kind sir. I'm glad you enjoyed this as much as you did. "
2022-12-28,https://boxd.it/3B19c5,I’m glad you caught this. I wish I was there when you saw that David Lynch moment
2022-12-31,https://boxd.it/3Ccs5t,He was hated by everyone I saw it with and I didn’t comprehend why
2022-12-31,https://boxd.it/3CeWvF,"Dude! Congratulations! 

I’m sure you’ll experience the emotion of being terrified, but don’t let that persuade you there won’t be magnanimous joy. 

You will be an excellent father."
2023-01-03,https://boxd.it/3DeNDT,I wouldn’t have connected this with <i>Nope</i> but it makes a lot of sense. Would be interesting to compare/contrast further
2023-01-04,https://boxd.it/3DIztv,"Ah, it makes sense that this was a novel. I might have liked this better if I had been familiar with the source material but it just didn’t quite work for me"
2023-01-15,https://boxd.it/3HwKWP,"""It's just weed, dude"" "
2023-01-20,https://boxd.it/3A54Uv,"You might like my audio essay on the plot. I thought Fraser's Charlie was a powerful performance that really brought it all together. You are spot on about the score. I even feature it in the essay. You can find it <a href=""https://open.spotify.com/episode/5iepeimiSOvxombQWj8jvG?si=dcf32b1584b44357"">on Spotify.</a>"
2023-01-20,https://boxd.it/3Jx4xN,Oh! I need to watch this! 
2023-01-22,https://boxd.it/3JS0Z1,"I'm sad it's finally left theaters. I saw it alone the first time, but the other three times I watched it were always with other people. I wish film twitter didn't suck the joy out of cinema. "
2023-01-25,https://boxd.it/3vNaAp,"I finally finished <i>Andor</i>

It’s amazing"
2023-01-26,https://boxd.it/3LnZzf,"I think this one was pretty good. It’s Anderson’s love letter to <i>The New Yorker</i> magazine. Scenes are meticulously timed and the visual changes happen on beats, like music. It creates a steady, continually forward-reaching plot. 

Definitely watch other films from Wes. He’s got a knack for good stories and interesting characters."
2023-01-26,https://boxd.it/3LmdAd,Let me know how I can support you
2023-01-29,https://boxd.it/3McScZ,Bread makes you fat?
2023-01-29,https://boxd.it/3Mk5xF,"Clark… I pretty much wept this time. It only gains more meaning and importance each time I’ve watched it. This time, I focused on the animals. Somehow, it is the saddest perspective."
2023-01-31,https://boxd.it/jp7J0,"@Sam Graef, I finally updated the list "
2023-02-20,https://boxd.it/3SMuA5,calm down Scorsese 
2023-02-21,https://boxd.it/3SXMpV,This is a great one
2023-02-23,https://boxd.it/3TkL07,I love it when they make out
2023-02-23,https://boxd.it/3Tyg6h,I’d be down to watch <i>Crimes of the Future</i> whenever you’re up for it. I loved it
2023-02-25,https://boxd.it/3TT2ib,I’ve heard <i>Lawrence</i> is great
2023-02-26,https://boxd.it/3UaMCb,This is going to win best picture
2023-02-26,https://boxd.it/3Uu5QJ,“Do you accept cash?”
2023-02-28,https://boxd.it/3UWjhT,👍🏻✌🏻
2023-03-03,https://boxd.it/3Vz1HH,<i>put the knife in your eye.</i>
2023-03-07,https://boxd.it/3frIdr,"In defense of my not being ""silly,"" you probably aren't aware that 3.5 stars is minimum for me to recommend a film generally. A rating less than that automatically categorizes a film as a niche conversation topic. It also means I tend to not to post about it on other socials after watching it, even on repeat watches. "
2023-03-09,https://boxd.it/3XsDon,"spoiler alert
~~~~~~~~~~~~~~~~

I'm curious: do you think JLB was telling the truth about meeting Casey a year later?"
2023-03-23,https://boxd.it/414cvp,yo wtf
2023-03-24,https://boxd.it/41w3bh,lmao explain please
2023-03-29,https://boxd.it/42Q0GF,oh my god perfect review
2023-04-10,https://boxd.it/46aNnf,It’s not great. Most of the jokes were lame and the satire felt like it was abandoned by the end but I loved Owen Wilson and it looked like he had fun
2023-04-14,https://boxd.it/47mhnP,lmao at your trigger warning
2023-04-24,https://boxd.it/49Rbex,i really hope this short is not about ari aster's dick
2023-04-25,https://boxd.it/4aba0T,lmao I’m <i>never </i>watching another<i> </i>Ari Aster with my mom
2023-05-03,https://boxd.it/4clt3Z,"I talked with three people after seeing it a second time. One said he wanted to forget he watched it. Another said she couldn’t wait to dive in for more.

The last one is just for me."
2023-05-04,https://boxd.it/4cs2Rd,The first thing Beau is seen doing is feeding the fish
2023-05-17,https://boxd.it/4fMAWX,Your politics bore me
2023-05-22,https://boxd.it/rtqsV,ABED
2023-05-27,https://boxd.it/4i87FZ,omg i love this movie
2023-05-27,https://boxd.it/4i8BW7,(◍•ᴗ•◍)❤
2023-06-02,https://boxd.it/4jSq6l,Literally my thoughts at the end credits
2023-06-12,https://boxd.it/4mpMr5,It’s spelled “altar”
2023-06-15,https://boxd.it/4ne5wN,Yo why is Dr Phil listed in this
2023-06-17,https://boxd.it/4nLBwr,"Do you realize, your writing voice pauses a lot, I suppose to explain what you’re trying to say. It’s easy to spot what I’m talking about, especially when you count your commas 

<i>Breakfast Club</i> is alienated by almost four decades of evolution in how school works. I’m not surprised it isn’t relatable to people who weren’t even alive in the 90s or 00s."
2023-06-21,https://boxd.it/4paNxv,I ❤️ Betty Gabriel
2023-06-28,https://boxd.it/4qXlz1,JoFo is a queer icon
2023-07-14,https://boxd.it/4vG58J,Waste of Zazie Beets
2023-07-15,https://boxd.it/4w7OOT,I haven’t seen you give a 5 star before
2023-07-17,https://boxd.it/4wqOm9,DREAMS ARE MESSAGES FROM THE DEEP
2023-07-24,https://boxd.it/4zfQgn,lol you hate women
2023-07-24,https://boxd.it/4z1TtV,Thanks for this perspective. I guess it’s a legitimate complaint that an adaption of a biography didn’t feature characters who weren’t in the biography.
2023-07-26,https://boxd.it/4AnFtP,please do go on
2023-07-28,https://boxd.it/4AXsTx,GodFAHther
2023-07-28,https://boxd.it/4BdC3t,"I've walked out of two movies in my life: <i>I Can Only Imagine</i> and the ""live action"" remake of <i>The Lion King</i>

Good on you for knowing your limits"
2023-07-28,https://boxd.it/4BdC3t,You could have asked for a refund. I hear they let you do that if you seriously hate a film 
2023-08-05,https://boxd.it/4E3rBh,idk sounds like a bad movie
2023-08-06,https://boxd.it/4Edjgb,I want to watch this again
2023-08-06,https://boxd.it/4Ed4VX,Great flick!
2023-08-11,https://boxd.it/4FtRqv,Thank you for such a perfect encapsulation of experiencing this film
2023-08-23,https://boxd.it/4JFkmF,Alan thought Allan was funny
2023-08-28,https://boxd.it/4L96Zx,happy birthday
2023-09-06,https://boxd.it/4O9Wcz,Better known as Kirsten Dunst’s husband
2023-09-08,https://boxd.it/4OHt0H,Now I want to watch <i>Hot Rod</i>
2023-09-17,https://boxd.it/4R5ZJP,decoherence
2023-10-10,https://boxd.it/4Y54sF,I enjoy how much you love this one. I saw it three times in theaters 
2023-10-10,https://boxd.it/3ZS805,Looking backward to <i>Oppenheimer</i>
2023-10-17,https://boxd.it/50HHwl,what's a himberman want with being a wickthey
2023-10-17,https://boxd.it/4ZA3Bd,gay
2023-10-22,https://boxd.it/51S8ul,I think that is only a problem if you can first recognize Sturgill Simpson or Jack White
2023-10-22,https://boxd.it/51S8ul,"FYI Heath, I was notified of the latest comment 

Good running into you today!"
2023-10-29,https://boxd.it/54Apin,"Great film. Great theater. 

Nothing gold can stay. 💙"
2023-10-31,https://boxd.it/559wQh,Not everyone wants to be a mother. And that’s okay
2023-10-31,https://boxd.it/54XDOj,No
2023-10-31,https://boxd.it/54XbG7,Sounds like a <i>you</i> problem
2023-11-14,https://boxd.it/599071,I am gay
2023-11-21,https://boxd.it/541iGR,I'll tell you what that book burning was about
